2026-07-24 13:31:53 - transient_deeponet - INFO - Training comment
2026-07-24 13:31:53 - transient_deeponet - INFO - Cylinder transient data; complete 100-step trajectory per x-strip sample
2026-07-24 13:31:53 - transient_deeponet - INFO - Output directory: /home/hantianl/Documents/PIDIF/DeepONet/results/transient_072426_1
2026-07-24 16:37:01 - transient_deeponet - INFO - Epoch 0780 | data loss=7.096e-03 | bc loss=0.000e+00 | valid MSE=3.868e+02 | valid rel L2=3.959e-02 | pressure=2.757e-02, u=2.508e-02, v=1.379e-01 | Time: 3:05:00.772159
2026-07-24 16:39:20 - transient_deeponet - INFO - Epoch 0790 | data loss=6.959e-03 | bc loss=0.000e+00 | valid MSE=3.270e+02 | valid rel L2=3.477e-02 | pressure=2.535e-02, u=2.501e-02, v=1.404e-01 | Time: 3:07:19.151034
2026-07-24 16:41:46 - transient_deeponet - INFO - Epoch 0800 | data loss=6.985e-03 | bc loss=0.000e+00 | valid MSE=2.942e+02 | valid rel L2=3.376e-02 | pressure=2.405e-02, u=2.413e-02, v=1.352e-01 | Time: 3:09:45.319181
2026-07-24 16:44:00 - transient_deeponet - INFO - Epoch 0810 | data loss=7.018e-03 | bc loss=0.000e+00 | valid MSE=3.168e+02 | valid rel L2=3.563e-02 | pressure=2.495e-02, u=2.461e-02, v=1.364e-01 | Time: 3:11:59.540864
2026-07-24 16:46:15 - transient_deeponet - INFO - Epoch 0820 | data loss=6.747e-03 | bc loss=0.000e+00 | valid MSE=3.369e+02 | valid rel L2=3.719e-02 | pressure=2.574e-02, u=2.529e-02, v=1.401e-01 | Time: 3:14:14.543514
2026-07-24 16:48:27 - transient_deeponet - INFO - Epoch 0830 | data loss=6.516e-03 | bc loss=0.000e+00 | valid MSE=2.911e+02 | valid rel L2=3.204e-02 | pressure=2.392e-02, u=2.455e-02, v=1.357e-01 | Time: 3:16:26.275937
2026-07-24 16:50:53 - transient_deeponet - INFO - Epoch 0840 | data loss=6.670e-03 | bc loss=0.000e+00 | valid MSE=3.235e+02 | valid rel L2=3.199e-02 | pressure=2.522e-02, u=2.413e-02, v=1.327e-01 | Time: 3:18:52.091164
2026-07-24 16:53:12 - transient_deeponet - INFO - Epoch 0850 | data loss=6.537e-03 | bc loss=0.000e+00 | valid MSE=3.064e+02 | valid rel L2=3.085e-02 | pressure=2.454e-02, u=2.400e-02, v=1.335e-01 | Time: 3:21:11.757703
2026-07-24 16:55:29 - transient_deeponet - INFO - Epoch 0860 | data loss=6.477e-03 | bc loss=0.000e+00 | valid MSE=3.076e+02 | valid rel L2=3.422e-02 | pressure=2.459e-02, u=2.456e-02, v=1.359e-01 | Time: 3:23:28.877204
2026-07-24 16:57:46 - transient_deeponet - INFO - Epoch 0870 | data loss=6.382e-03 | bc loss=0.000e+00 | valid MSE=3.102e+02 | valid rel L2=3.405e-02 | pressure=2.469e-02, u=2.449e-02, v=1.331e-01 | Time: 3:25:45.139648
2026-07-24 17:00:03 - transient_deeponet - INFO - Epoch 0880 | data loss=6.269e-03 | bc loss=0.000e+00 | valid MSE=3.083e+02 | valid rel L2=3.057e-02 | pressure=2.462e-02, u=2.418e-02, v=1.332e-01 | Time: 3:28:02.298767
2026-07-24 17:02:19 - transient_deeponet - INFO - Epoch 0890 | data loss=6.314e-03 | bc loss=0.000e+00 | valid MSE=3.029e+02 | valid rel L2=3.467e-02 | pressure=2.440e-02, u=2.442e-02, v=1.335e-01 | Time: 3:30:18.000063
2026-07-24 17:04:36 - transient_deeponet - INFO - Epoch 0900 | data loss=6.205e-03 | bc loss=0.000e+00 | valid MSE=2.946e+02 | valid rel L2=3.107e-02 | pressure=2.407e-02, u=2.436e-02, v=1.326e-01 | Time: 3:32:35.299633
2026-07-24 17:06:58 - transient_deeponet - INFO - Epoch 0910 | data loss=6.270e-03 | bc loss=0.000e+00 | valid MSE=2.979e+02 | valid rel L2=3.476e-02 | pressure=2.420e-02, u=2.448e-02, v=1.333e-01 | Time: 3:34:57.799605
2026-07-24 17:09:22 - transient_deeponet - INFO - Epoch 0920 | data loss=6.239e-03 | bc loss=0.000e+00 | valid MSE=3.068e+02 | valid rel L2=3.203e-02 | pressure=2.456e-02, u=2.451e-02, v=1.333e-01 | Time: 3:37:21.217841
2026-07-24 17:11:46 - transient_deeponet - INFO - Epoch 0930 | data loss=6.160e-03 | bc loss=0.000e+00 | valid MSE=3.020e+02 | valid rel L2=3.054e-02 | pressure=2.437e-02, u=2.438e-02, v=1.331e-01 | Time: 3:39:45.431027
2026-07-24 17:14:17 - transient_deeponet - INFO - Epoch 0940 | data loss=6.132e-03 | bc loss=0.000e+00 | valid MSE=3.036e+02 | valid rel L2=3.124e-02 | pressure=2.443e-02, u=2.437e-02, v=1.328e-01 | Time: 3:42:16.451840
2026-07-24 17:16:59 - transient_deeponet - INFO - Epoch 0950 | data loss=6.143e-03 | bc loss=0.000e+00 | valid MSE=3.055e+02 | valid rel L2=3.475e-02 | pressure=2.450e-02, u=2.439e-02, v=1.331e-01 | Time: 3:44:58.261473
2026-07-24 17:19:27 - transient_deeponet - INFO - Epoch 0960 | data loss=6.083e-03 | bc loss=0.000e+00 | valid MSE=3.053e+02 | valid rel L2=3.115e-02 | pressure=2.450e-02, u=2.438e-02, v=1.330e-01 | Time: 3:47:26.328620
2026-07-24 17:21:49 - transient_deeponet - INFO - Epoch 0970 | data loss=6.092e-03 | bc loss=0.000e+00 | valid MSE=3.035e+02 | valid rel L2=3.222e-02 | pressure=2.443e-02, u=2.427e-02, v=1.330e-01 | Time: 3:49:47.980881
